author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency,urls,og_dates
David Gerrold,"['Gerrold, David,1944-']","""['The trouble with Tribbles ']""",[1973.0],[nan],['   '],[nan],[nan],1973.0,1973.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbr6q2bo9aQnSk8wBXichYitxmlFqbn9X08AOi-EtME0PDM96dZPjos2Obsg&s'],['1973']
David Irving,"['Irving, David.']","""['The moral fables of Robert Henryson. (The morall fables of Esope the Phrygian ']""",[1832.0],"['Edinburgh,']",['eng'],[nan],[nan],1832.0,1832.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVzBc0ZmRtcSQNYAmhCdrst9FYViSaLNl5gFpu8m__erz23NS1SFTJATwPFw&s'],['1832.']
David John Cawdell Irving,"['Irving, David John Cawdell,1938-']","""['The destruction of Dresden ']""",[1971.0],"['London : Transworld,']",['eng'],[nan],[nan],1971.0,1971.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyWpIa8znZ6YX_YKT1XkdpKKJRRwAHKn5F5u2g9QRmDfKApSBmy2eLKkmfRg&s'],['1971.']
David Macey,"['Macey, David,1949-']","""['What is democracy? ']""",[1997.0],"['Boulder, Colo. ; Oxford : WestviewPress,']",['eng'],['Democracy.'],['Includes bibliography and index'],1997.0,1997.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxVyA1fICI5OVERARw5nj085U-BhldwR_j_H6LR3Y_bC0ZiGa6MXBEkePhkFk&s'],['1997.']
David Mamet,"['Mamet, David,1947-', 'Mamet, David,1947-']","""['A life in the theatre a play', 'A life in the theatre ']""","[1977.0, 1989.0]","['New York London French', 'London : Methuen Drama,']","['eng', 'eng']","['American drama.', nan]","['Two men', nan]",1977.0,1989.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgx_OfJ3bM0Y_hb2T4MnJBeriTM6AvSzCII9BtP-BMp1sJRBrE17QR0w8Zqw&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVbRXBmLb3smpbHo-GwCLbflpsz7wb2gnLLoIDAmBrs_PEgAnQdpCWcUEbZQ&s']","['1977', '1989.']"
David Sweetman,"['Sweetman, David,1943-']","""['Spies and spying']""",[1978.0],['Hove Wayland'],['eng'],['Espionage'],['Bibliography: p.94. - Includes index'],1978.0,1978.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMjno6-RBthAEHZLHlFIg4bCeX7ZrvVqbkhoc0kbVgtRIKwH7z4h5I6w25wgk&s'],['1978']
David Yates,"['Yates, David,1946-']","""['Exclusion clauses in contracts']""",[1978.0],['London Sweet & Maxwell'],['eng'],['Contracts'],['ISBN 0 421 240407 Pbk'],1978.0,1978.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSziEvw-qywe4x9UtSSBNVdHhEo0TrN-m81lUnbaj5N_DaSey4_hb6eB5gCLg&s'],['1978']
Deborah Grabien,"['Grabien, Deborah.']","""['Woman of fire']""",[1988.0],['Piatkus'],['eng'],[nan],[nan],1988.0,1988.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1nqlRkP06DdhMBOCRgVITOvjbFiVF5kgVBZICAySyxGN_BsnsiqZ3b7JUQQ&s'],['1988']
Deborah Tannen,"['Tannen, Deborah.']","""['Talking voices : repetition, dialogue, and imagery in conversational discourse ']""",[1989.0],"['Cambridge : Cambridge University Press,']",['eng'],['Sociolinguistics.'],['Includes index'],1989.0,1989.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLjPa14v4T0EvMMH9B1ivjb8ou4HPYMasV_llnAwPj8HZ3wKxXylqHrwkZow&s'],['1989.']
Denys Val Baker,"['Val Baker, Denys,1917-1984.', 'Val Baker, Denys,1917-1984.', 'Val Baker, Denys,1917-1984.']","""['The waterwheel turns', 'One summer at St Merry', 'Summer at the Mill']""","[1984.0, 1984.0, 1982.0]","['Bath Chivers', 'London Kimber', 'London Kimber']","['eng', 'eng', 'eng']","[nan, nan, nan]","['Originally published: London : Kimber, 1982', nan, nan]",1982.0,1984.0,3,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRUsUzCcZebmuym_iX6s8xuGaM0L-noNIVR5K3DkavP3ppBTelmRtPyGv79A&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcfPdB68Vp4noD3jqGjq2jhqZJOmrq0nYpAGT9L9Uatcdhwow-Q5kSdNNVkgA&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuRx8VZURaQVMeBjCrH-i1cq4jBZQy-VGikJp63sIizsToHhlWv54Wu5nEXw&s']","['1987, c1982', '1984', '1982']"
Dinah Maria Mulock Craik,"['Craik, Dinah Maria Mulock,1826-1887.', 'Craik, Dinah Maria Mulock,1826-1887.', 'Craik, Dinah Maria Mulock,1826-1887.', 'Craik, Dinah Maria Mulock,1826-1887.']","""['Two marriages ', 'The head of the family. A novel ', 'John Halifax, gentleman. Introduction by W.M. Parker.', 'John Halifax gentleman.']""","[1867.0, 1852.0, 1961.0, 1924.0]","['London,', 'London, ', 'London,', 'London & New York, ']","['eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan]","['Item records and volume number generated programmatically as part of an external digitisation project', 'Item records and volume number generated programmatically as part of an external digitisation project', nan, nan]",1852.0,1961.0,4,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2_MMfM-GuDUKmihbO3ULiuMLCMw7k-0hQhvbf9yWPMOHcEjsxB8yS6BkvAEw&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS89CJn2kgc-eUkEB2bn-SWLLB_TXWNWyko-sC9q3Kwfme-e-9kc-guKmLtRh8&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5K0neBASAyyecoawtSjaZNGvVhU0Ha7wZCoq3vdfr9mMLNXzJJlyGm5-CYw&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfFtBa1C-iBu3di0_TQGwm6E4L0QEz0llUjjDuUcysB3HNC_rkMlkmO73SDw&s']","['1867.', '1852.', '1961.', '[1924]']"
Dirk Bogarde,"['Bogarde, Dirk,1921-1999.', 'Bogarde, Dirk,1921-1999.']","""['Jericho ', 'A postillion struck by lightning']""","[1992.0, 1982.0]","['London : Viking,', 'Harmondsworth Penguin']","['eng', 'eng']","[nan, 'Actors']","[nan, 'Originally published: London : Chatto and Windus, 1977']",1982.0,1992.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEKkDOXQM44otXbQ1-44EKp7ZHQJxM8e6qAA6jCEVwHZ8vfTTVjIF49CYB1g&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZytVKQtx_UF9CARSzxlGAjTDVi_kQHpcJRBcFusGW6FlnihLBZwsqAMeeEGc&s']","['1992.', '1988, c1977']"
Djuna Barnes,"['Barnes, Djuna.']","""['Spillway. [Short stories.]']""",[1962.0],"['London,']",['eng'],[nan],"['First published in the U.S.A. as ""A book"".']",1962.0,1962.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmnUGHumHILWkNHbUTEGKq6tXKWzwQoinfzwfPGezfDukzHdQvnnL21IMgxg&s'],['1962.']
Dmitry Sergeyevich Merezhkovsky,"['Merezhkovsky, Dmitry Sergeyevich,1865-1941.', 'Merezhkovsky, Dmitry Sergeyevich,1865-1941.', 'Merezhkovsky, Dmitry Sergeyevich,1865-1941.', 'Merezhkovsky, Dmitry Sergeyevich,1865-1941.Leonardo da-Vinchi.']","""['Petr i Aleksei', 'Vechnye sputniki (Pushkin). Pushkin', 'Gogolʹ', 'Voskresshie bogi ; Leonardo da-Vinchi ']""","[1905.0, 1971.0, 1980.0, 1990.0]","['[St. Petersburg] Pirozhkov', 'Letchworth (Icknield Way, Letchworth, Herts. SG6 4AD) Prideaux Press', 'Letchworth Prideaux Press', 'Moskva : Khudozhestvennai︠a︡ literatura,']","['rus', 'rus', 'rus', 'rus']","['Russian fiction.', 'Pushkin, Aleksandr Sergeevich, 1799-1837.', 'Gogolʹ, Nikolaĭ Vasilʹevich, 1809-1852', nan]","['3rd part of author\'s trilogy ""Khristos i Antikhrist""', 'Third ed. originally published, S.-Peterburg: Izdanie M.V. Pirozhkova, 1906', 'Facsimilie reprint of 1st ed : S.-Peterburg : Prosveshchenie, 1911', nan]",1905.0,1990.0,4,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJ5znHggvij901YHYJQXl0RWFvqMkhiWzxtviHOz1KDF-LXF9MVsWW5EmrEQ&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWXSLDdZXT6aglPQxERnZ6jsXKXjk21r4Qpj6TsUGSG2PA63UiCG5HTGu-Aw&s', 'https://www.uoduckstore.com/TDS%20Product%20Images/QuickStudy%20Book%20for%20Calculus_1.jpg?resizeid=3&resizeh=195&resizew=195', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBOBrkV3CAVnW0yAwIqnKG-SiO9Mozc7P-KKAvjoUqJa9n4WGM-1sGLwq-Cw&s']","['1905', '1971', '1980', '1990.']"
Dolf Wyllarde,"['Wyllarde, Dolf.', 'Wyllarde, Dolf.']","""[''They also serve -': a story for girls.', 'The miserable sinner.']""","[1924.0, 1932.0]","['London, ', 'London, ']","['eng', 'eng']","[nan, nan]","[nan, nan]",1924.0,1932.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4DnLwOwhWzHhJH2lETVM75wa3E1bkoddyLf_cv7g_e9DX8IAXPiygd-2XnNU&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRbuI8F87XC2GtcYKH9AEf07JGj2ZqG25kc3g8KU2KFTQMmZADHuvY_J-blGc&s']","['[1924]', '1932.']"
Donald B. Smith,"['Smith, Donald B.,1946-']","""['Aboriginal Ontario : historical perspectives on the First Nations ']""",[1994.0],"['Toronto : Dundurn Press,']",['eng'],['Indians of North America'],['Includes bibliographical references and index.'],1994.0,1994.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0Sn21JL7pXi5EZ5glxE6_CKfip8NGn75ueV9475ddo5tmWGF616RLdWMxog&s'],
Donald Barr Chidsey,"['Chidsey, Donald Barr,1902-1981.']","""['Elizabeth I. [With a portrait.]']""",[1955.0],"['London,']",['eng'],[nan],[nan],1955.0,1955.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRny-69AT4hxrX2tJOGorT_Kl3lREI2QBErGhStDvESOYeatsYK3mRc07rKrw&s'],['1955.']
Donald Bisset,"['Bisset, Donald.', 'Bisset, Donald.']","""['The adventures of Mandy Duck', 'Anytime stories. [With illustrations.]']""","[1974.0, 1954.0]","['London Methuen', 'London, ']","['eng', 'eng']","[""Children's stories."", nan]","[nan, nan]",1954.0,1974.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhQTRsq0zeGpu28dNXfmiNFTKvRx3KcC7uEqBcnQ6pCOzADrh0UsTG4T4CIg&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTRRmINjBGrduTxw2QTLe6OvHpAqu3aXBs98gLeme9bWOkTP4iePzUUz_7DQ&s']","['1974', '1954.']"
Dorothy Jenner,"['Jenner, Dorothy.']","""['Hans Dampf und andere Geschichten von Paul Silberer, Hans Berli und Eduard Lombard ']""",[1932.0],"['London, ']",['ger'],[nan],[nan],1932.0,1932.0,1,['https://www.uoduckstore.com/TDS%20Product%20Images/QuickStudy%20Book%20for%20Calculus_1.jpg?resizeid=3&resizeh=195&resizew=195'],['1932.']
Dorothy Scarborough,"['Scarborough, Dorothy.']","""['The supernatural in modern English fiction.']""",[1917.0],"['New York and London, ']",['eng'],[nan],[nan],1917.0,1917.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQz5s2c0Ak0_6HkpennQ_Ai4r0AZHbCryeUvYMDf7XCMdyus7nTLn5_MTTQnw&s'],['1917.']
Dr Seuss,"['Seuss,Dr.', 'Seuss,Dr.', 'Seuss,Dr.', 'Seuss,Dr.', 'Seuss,Dr.', 'Seuss,Dr.', 'Seuss,Dr.']","""['The cat in the hat', 'There's a wocket in my pocket!', 'One fish, two fish, red fish, blue fish ', 'Dr Seuss's ABC', 'Oh, the thinks you can think! ', 'Fox in socks. [With illustrations.]', 'I had trouble in getting to Solla Sollew ']""","[1980.0, 1975.0, 1960.0, 1980.0, 1988.0, 1966.0, 1990.0]","['[London] Collins', 'London Collins [etc.]', 'London : Collins,', '[London] Collins', 'London : Collins,', 'London,', 'Glasgow : Collins,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[""Children's stories."", ""Children's stories."", nan, ""Children's stories."", nan, nan, nan]","['ISBN 0-00-171303-5 Pbk : £1.00', 'Originally published: New York : Random House, 1974', nan, 'ISBN 0-00-171308-6 Pbk : £1.00', 'Originally published: UK, 1976.', nan, 'First published in Great Britain: 1967.']",1960.0,1990.0,7,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQulK3BsGaeLRef0NyDgfCJ3XRK8IUD33YogLqz_91bQBcVUlSY9ZNb_P3A3Fc&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzKlkpECGWkKyjWrmupHRIDW7h3NP64yN1pPVrjRfJdcU2HKihHI6sMsrz5hQ&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTvHh5ta_1rAJ9tXN6B_YEoRSj_s-DEe64TOYXQsFdgjXETR5lo1spK_G18w&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSg76sM6hwC7BZr0Xc16npnws0n5asVt0zhtpV8yKcy5r6TFQ675NruukaeK5I&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4LiZdNlfe3vJTLnCwUika34QQVixj4uq6AJXJvo3FLCWHMUaSL0bHMGAKTg&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4T1SGFsMQByxMr4Sy4yA7fQyFGTDkzPc4bbkTSMac9l9JXg4L3PI28nIf85E&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpRxAlg2qpLPX5iLzerGO2UtaNNHroXT-dENowYCI8ZFo5XFhPwJgPLULlnw&s']","['[1980]', '1975', '1960', '[1980]', '2001, c1975.', '1966.', '1990.']"
Drew Hayes,"['Hayes, Drew.']","""['The caverns and mines of Matlock Bath Rutland and Masson Caverns']""",[1976.0],"['Buxton Moorland Publishing Company,']",['eng'],['Mines and mineral resources'],['Includes index'],1976.0,1976.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMv92oSGP0eBp-XzSfmk0cmOsOc6vYkUfajogFc2KOD4q94gsUgHVV-KqAu7k&s'],['1976']
Dwight Macdonald,"['Macdonald, Dwight.']","""['The responsibility of peoples, and other essays in political criticism.']""",[1957.0],"['London, ']",['eng'],[nan],[nan],1957.0,1957.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4NPC0BJrqphO12XbwlfNqCyGBwmQGcLqChIqZFUi395uPNeUnge5FG6ZLKos&s'],['1957.']
E. C. R. Lorac,"['Lorac, E. C. R.,pseud. [i.e. Edith Caroline Rivett.]', 'Lorac, E. C. R.,pseud. [i.e. Edith Caroline Rivett.]', 'Lorac, E. C. R.,pseud. [i.e. Edith Caroline Rivett.]']","""['John Brown's body. [A novel.]', 'Shroud of darkness.', 'Post after post-mortem.']""","[1938.0, 1954.0, 1936.0]","['London, ', 'London, ', 'London, ']","['eng', 'eng', 'eng']","[nan, nan, nan]","[nan, nan, nan]",1936.0,1954.0,3,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSml2aDNPSM1CajWt9cVEDZiJg7OTXFaw_-FDKZW0Ro-ek8ARBJHolFWPgO2SU&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2IfhB2fiuAUztcLl6M94tJGxFcTirWY1osTdkvCem4i8gnXDyUBwZVgscnDY&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSpEZVEaNTbXUUGcDizZfEp3EWiiQP1x0JxMzEmH5F-FNVK1uf2XnIUS75Vvg&s']",
E. L. Doctorow,"['Doctorow, E. L.,1931-2015.']","""['The waterworks ']""",[1994.0],"['London : Macmillan,']",['eng'],[nan],[nan],1994.0,1994.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQa2oIR2jSatMMgVn5JTti0WqYPM2TOyGRGLU5HrE89hkVbuixZoTDfI59X0xo&s'],
E. S. Elliott,"['Elliott, E. S.']","""['Lady Grey of Silverdon or joint-service.']""",[1891.0],"['London, ']",['eng'],[nan],[nan],1891.0,1891.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHROaJWNOV_DMhp5NrOdJ7Kzh6Z6wfkaIGlR_M3-XJD4uG_NeOeN3L1wzFQbo&s'],
Ebba Haslund,"['Haslund, Ebba,1917-']","""['Kvinner, fins de?']""",[1980.0],[nan],['   '],[nan],[nan],1980.0,1980.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTI_F5BPJr25G7V8-2oT8imw-pf1Z0ZuKju4hcefTtjrgYODFmYhPExolBMyxQ&s'],['1980']
Ed McBain,"['McBain, Ed,1926-2005.', 'McBain, Ed,1926-2005.', 'McBain, Ed,1926-2005.', 'McBain, Ed,1926-2005.', 'McBain, Ed,1926-2005.', 'McBain, Ed,1926-2005.']","""['He who hesitates : a novel of the 87th precinct ', 'Lady, lady, I did it! an 87th precinct mystery', 'Let's hear it for the deaf man ', 'Axe : an 87th Precinct mystery ', 'Snow white and rose red', 'Another part of the city ']""","[1979.0, 1980.0, 1984.0, 1968.0, 1985.0, 1989.0]","['London : Coronet,', 'London Severn House [Distributed by Hutchinson]', 'London : Mandarin,', 'Harmondsworth : Penguin,', 'London Hamilton', 'Bath : Chivers,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, 'English fiction.', nan, nan, nan, nan]","['Originally published: London : Hamish Hamilton, 1965.', 'Originally published : New York : Simon and Schuster, 1961; London : Boardman, 1963', nan, ""Originally published in Britain (B64-21805) H.Hamilton, 1964. Originally published as 'Ax' Simon & Schuster, 1964"", nan, nan]",1968.0,1989.0,6,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvL0oldhjtBWDeUBj6XD0X2TcKxRG5uI0-MQceUJ1S5eFUt1d1IV2LfAHXOGo&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZDEd4XmMBuXOZZS6dlkYhUfI-oZTjYLSz1_XCscmcKEDKgiDjfXAkPYYi5Q&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0fQhRIV_C-6byFe0TmT_Mk37h8IBM6wsBoXmq8F2oMtsi1O9DAnjuZiYasek&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTO_0-lT52p11zFrZsw9H5zcWN1bQtvacTn13JWmDGCzw41ihhj7JrJfeDd9A&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNbL6UpBzwE6mxwe0XeHarI-bvZ3r1rpfN_-FK8ep6dyZUDINtxNEEZLV2HA&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRt7WP3Ch6xiKDVMpx6NkLi5tvnEQdgK4OswuYIqFdBxYCjAi98rIPLx7n_gZY&s']",
Edith Wharton,"['Wharton, Edith,1862-1937.', 'Wharton, Edith,1862-1937.', 'Wharton, Edith,1862-1937.', 'Wharton, Edith,1862-1937.Glimpses of the Moon.']","""['The custom of the country ', 'A backward glance', 'The mother's recompense.', 'Glimpses of the moon : a jazz age musical ']""","[1954.0, 1972.0, 1925.0, 2011.0]","['London : Virago,', 'London Constable', 'New York & London, ', 'New York : Samuel French,']","['eng', 'eng', 'eng', 'eng']","[nan, 'Authors', nan, 'Musicals']","['Originally published: [London]: Macmillan, 1913', 'Includes index', nan, '""#29718""--T.p. verso.']",1925.0,2011.0,4,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEk2ZrKNAGpgoYTjCNjkjTu6S4pX3dsvb-Boz-WA416f-GAWNnalNmRebUyUY&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrF1XgRF2r7_FSqRsmwmA4zOelbPyPmdcjL8s4yFtARuwrEo3Palr6klR1kg&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTybKJgj6lEdRvzYbR1kWPy2Ypg3esxto5YAQ8AYoV215cqXxeAkSSMuXz9uY&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1NfbuhIPHtISfkLvGwXWdMrzbdYoCTvcZXl1l3h1gi4DaQmf4Fxc4iNij8d4&s']","['1995, c1913.', '1972', '1925.', 'c2011.']"
Edmund Selous,"['Selous, Edmund.']","""['The wonders of the insect world.']""",[1911.0],"['London, ']",['eng'],[nan],[nan],1911.0,1911.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnSEbJMsnBOvSU9XwQS7wAt-tvW3bGdnzJXWTrHh33-GnHaMUjcpZTlqmi27Y&s'],['1911.']
Edmund Sharpe,"['Sharpe, Edmund.']","""['A letter on branch railways ...']""",[1857.0],"['London, ']",['eng'],[nan],[nan],1857.0,1857.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTy86Fu1fhhC9JqOj1rXiTA7aYoOf_aSYGAuGbCfch48D2Lbjx5gxMQMXncxA&s'],['1857.']
Edmund Spenser,"['Spenser, Edmund,1552?-1599.', 'Spenser, Edmund,1552?-1599.']","""['The adventures of the six princesses of Babylon, in their travels to the temple of virtue: an allegory. Dedicated, by permission, to Her Royal Highness the Princess Mary.', 'Prince Arthur: an allegorical romance. The story from Spenser. In two volumes. ...']""","[1785.0, 1779.0]","[""London : printed for the author, by T. Bensley; and sold by J. Buckland J. Pridden; and by the author at A. Perfelia's,"", 'London : printed for G. Riley; and sold by F. Newbery,']","['eng', 'eng']","[nan, nan]","['ESTC', 'Roscoe A428']",1779.0,1785.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNj3WE2zf0ZXWm8vZWk28oL6yl4U1YBNhAQAYkf_c2y2pRXKYaMw1WVrX0BQ&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlTgF0GiC0Kcpqnf0LcjBYWnE5ZYk4kctBNSDcY5BlcVvEDSjaqj43kZjYEQ&s']","['1785.', '1779.']"
Edmund Wilson,"['Wilson, Edmund,1895-1972.', 'Wilson, Edmund,1895-1972.']","""['Europe without Baedeker: sketches, among the ruins of Italy, Greece & England. Together with notes from a European diary 1963-64.', 'The Dead Sea scrolls, 1947-1969']""","[1967.0, 1971.0]","['London,', 'London Collins']","['eng', 'eng']","[nan, 'Dead Sea scrolls.']","[nan, ""Revised and expanded version originally published, London: W.H. Allen, 1969. Originally published as 'The scrolls from the Dead Sea'. New York: Oxford University Press; London: W.H. Allen, 1955""]",1967.0,1971.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtiHNh1-3Ayfl-4Us3w90oiH-SYElM7Bgr245E3xjGv4iI1Vu5WmyZQQvJs6k&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSiUlpMVnjs7IJJvZwg0GDWIs6EjJh9tWhAVSQ9SkhvVDfedYkvKPDv3YmRag&s']","['1967.', '1971']"
Edmund Yates,"['Yates, Edmund.']","""['Gathered leaves; being a collection of poetical writings of the late Frank E. Smedley  ']""",[1865.0],"['London, ']",['eng'],[nan],[nan],1865.0,1865.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcfGSwFzBCiPPefl2Lb6YsaIqX9_2NDzVv68QUZuaspENIAOuokrUuXf1AN3M&s'],['1865.']
Edward Allworthy Armstrong,"['Armstrong, Edward Allworthy.', 'Armstrong, Edward Allworthy.']","""['The folklore of birds: an enquiry into the origin & distribution of some magico-religious traditions. With ... photographs [and] ... illustrations in the text.', 'Birds of the grey wind ']""","[1958.0, 1944.0]","['London, ', 'London : Lindsay Drummond,']","['eng', 'eng']","[nan, 'Birds']","['[With a bibliography.]', 'Includes index.']",1944.0,1958.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAcv6bW4qeqo5j0XiMac04UFGZ0bS1NxWo6wkxmo0ZcKPJ44HvRyDxgCEB4A&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmC2YLgM64MUi2rztAz8dlNiAgys4nj_8xynHeAkRGVaG0lhOdXGEAgkNQFGA&s']","['1958.', '1944.']"
Edward Bunker,"['Bunker, Edward,1933-']","""['Dog eat dog ']""",[2000.0],"['Harpenden : No Exit,']",['eng'],['Robbery'],['Originally published: 1997.'],2000.0,2000.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSLf8-bVb3mqBubTRBmaoUP5nD5xH1gHXI1JSjETxPiY5gJpQrewSCXM8vkA&s'],"['2003, c1997.']"
Edward Carpenter,"['Carpenter, Edward,1844-1929.', 'Carpenter, Edward,1844-1929.']","""['Love's coming-of-age.', 'Non-Governmental Society. [Chapter 6 of 'Prisons, police and punishment'.]']""","[1923.0, 1911.0]","['London, ', 'London, ']","['eng', 'eng']","[nan, nan]","[nan, 'Earlier edition has title: Prisons, police and punishment.']",1911.0,1923.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlRzw27b0eryPlmrFPFCT8KN7pEavFoPt-rLi5NmD4rhBvjHpQ4WfENM4m_sI&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7gVbW1jZQM2s1ThPrtPRx0FtlC4q2XDW4NZohISz2f1rER6F4KjNgn38aeA&s']","['1923.', '1911.']"
Edward Shenton,"['Shenton, Edward,Author and Illustrator.']","""['The rib and Adam ']""",[1960.0],"['London, ']",['eng'],[nan],[nan],1960.0,1960.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQf1hG29p1rJrWFCAM1YxUG6Jz-TjL-YAkt1AKWWFUWjwTcZWcfbIfhLNALYQ&s'],['1960.']
Egerton Ryerson,"['Ryerson, Egerton,1803-1882.']","""['The Hon. R.B. Sullivan\'s attacks upon Sir Charles Metcalfe, refuted by Egerton Ryerson [microform] : being a reply to the letters of 'Legion'.']""",[1844.0],"['Toronto : Printed at the office of the British colonist,']",['eng'],"['Metcalfe, Charles Theophilus Metcalfe, Baron, 1785-1846.']",['Microfiche.'],1844.0,1844.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3_Dpy_iHZXbuPkAqjxMmA7Mstyez6-T347X2nYLzTzS-jJ38aAu_p9lwXfWk&s'],['1844.']
Elia Kazan,"['Kazan, Elia.']","""['The understudy ']""",[1976.0],['[London] Fontana'],['eng'],[nan],"['Originally published: New York : Stein and Day ; London : Collins, 1975']",1976.0,1976.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWXd_KSbRhQEVlyYmIqhaVgqJ8cYfwABDy1PbTj1kAkC_VhMB6iypRp6yrrA&s'],['1976']
